Sample_ID,Category,SMS_Text,Language,Label
SD0158,Social Media Account Scams,Snapchat Memories Alert: Your stored memories will be deleted unless you re-confirm storage plan: http://snap-memories-demo.example/confirm Sender: AD-SNAPMEM,English,Phishing
SD0159,Social Media Account Scams,Aapka YouTube monetization disable kiya ja raha hai policy violation ki wajah se. Appeal abhi: https://yt-monetize-appeal.example/appeal,Hinglish,Phishing
SD0160,Social Media Account Scams,Your X (Twitter) blue checkmark subscription payment failed. Update billing now: https://x-billing-demo.example/update Helpline: +91-9877665544,English,Phishing
SD0161,Social Media Account Scams,Aapka Facebook Marketplace account suspicious selling activity ki wajah se block hone wala hai. Verify: http://fbmarket-verify.example/verify Sender: VM-FBMARKET,Hinglish,Phishing
SD0162,Social Media Account Scams,Discord Security: Unusual login detected from new region. Confirm it was you or your account will be locked: https://discord-secure-demo.example/confirm,English,Phishing
SD0163,Gambling/Gaming Scams,"Aapka MPL game account mein Rs.14,500 ka bonus locked hai. Unlock karne ke liye verify karein: https://mpl-bonus-demo.example/unlock Sender: AD-MPLBONUS",Hinglish,Phishing
SD0164,Gambling/Gaming Scams,"BIG WIN ALERT: Your slot machine spin earned Rs.40,000. Withdraw before offer expires: http://slotwin-demo.example/withdraw Helpline: +91-9900778811",English,Phishing
SD0165,Gambling/Gaming Scams,"Aapko Satta King result ke according Rs.60,000 jeetne ki notification mili hai. Claim form bharein: https://sattaresult-demo.example/claimform",Hinglish,Phishing
SD0166,Gambling/Gaming Scams,"Dear Member, your online poker account shows unsettled winnings of Rs.27,800. Settle now: https://pokeraccount-demo.example/settle Sender: VM-POKERSETTLE",English,Phishing
SD0167,Gambling/Gaming Scams,Aapka Rummy Circle wallet verification ke bina freeze ho gaya hai withdrawal ke liye. Verify karein: http://rummycircle-freeze.example/verify,Hinglish,Phishing
SD0168,Gambling/Gaming Scams,Lucky Draw Casino: You've been selected for a free Rs.3000 chip bonus. Claim within 6 hours: https://luckycasino-demo.example/claim Helpline: +91-9811998822,English,Phishing
SD0169,Gambling/Gaming Scams,Aapke Dream11 referral se Rs.9000 ka bonus aaya hai pending verification. Abhi complete karein: https://dream-referral.example/complete Sender: AD-DREAMREF,Hinglish,Phishing
SD0170,Gambling/Gaming Scams,"WINNER: Your fantasy football team won the mega contest, prize Rs.85,000 awaiting claim: http://fantasyfootball-prize.example/claim",English,Phishing
SD0171,Gambling/Gaming Scams,Aapka online cricket betting account suspend hone wala hai pending KYC ki wajah se. Verify abhi: https://cricbet-kycverify.example/verify Sender: VM-CRICBET,Hinglish,Phishing
SD0172,Gambling/Gaming Scams,Teen Patti Live: Free Rs.1500 joining bonus credited. Login to claim before it expires: https://teenpattilive-demo.example/login Helpline: +91-9822556677,English,Phishing
SD0173,Electricity Bill Scams,Aapka solar subsidy bill electricity board mein pending hai. Claim karne ke liye verify karein: https://solarbill-demo.example/verify Sender: AD-SOLARSUBSIDY,Hinglish,Phishing
SD0174,Electricity Bill Scams,"Dear Customer, your smart meter installation fee is overdue. Pay Rs.350 to avoid service disruption: http://smartmeter-fee.example/pay Helpline: +91-9900334411",English,Phishing
SD0175,Electricity Bill Scams,URGENT: PSPCL bill payment bounce hua hai. Turant pay karein avoid disconnection: https://pspcl-bouncepay.example/pay,Hinglish,Phishing
SD0176,Electricity Bill Scams,Notice: Your UPPCL account shows excess billing refund of Rs.890. Claim refund here: https://uppcl-refund-demo.example/claim Sender: VM-UPPCLREFUND,English,Phishing
SD0177,Electricity Bill Scams,Aapka WBSEDCL connection disconnect hone wala hai aaj raat 10 baje. Abhi bill clear karein: http://wbsedcl-clear.example/clear Helpline: +91-9877223300,Hinglish,Phishing
SD0178,Electricity Bill Scams,"Final Disconnection Notice: Pay your pending dues of Rs.1,780 within 3 hours: https://duespay-final.example/pay Sender: AD-DUESFINAL",English,Phishing
SD0179,Electricity Bill Scams,Aapke ghar ka electricity meter reading galat upload hui hai. Correction ke liye verify karein: https://meterreading-correct.example/verify,Hinglish,Phishing
SD0180,Electricity Bill Scams,Power Grid Maintenance Notice: Avoid disconnection during maintenance by clearing dues now: http://powergrid-maint.example/cleardues Helpline: +91-9811667722,English,Phishing
SD0181,Lottery/Reward Scams,"CONGRATULATIONS! Aapka number Coca-Cola lucky draw mein select hua hai Rs.8,00,000 prize ke liye. Claim karein: https://cocacola-luckydraw.example/claim Sender: VM-COCALUCKY",Hinglish,Phishing
SD0182,Lottery/Reward Scams,You have won a brand new car in the Amazon Prime lucky customer draw! Verify details: http://amazonprime-cardraw.example/verify Helpline: +91-9900556633,English,Phishing
SD0183,Lottery/Reward Scams,"Aapko Reliance Jio anniversary offer mein Rs.50,000 cashback mila hai. Abhi claim karein: https://jio-anniversary.example/claim",Hinglish,Phishing
SD0184,Lottery/Reward Scams,Notice: Your SIM number has won the international lucky draw worth $5000. Submit details to claim: https://intl-luckydraw-demo.example/submit Sender: AD-INTLDRAW,English,Phishing
SD0185,Lottery/Reward Scams,"Aapke PAN card par Income Tax department ka refund Rs.45,600 pending hai. Claim karein: http://itrefund-claim-demo.example/claim Helpline: +91-9822667700",Hinglish,Phishing
SD0186,Lottery/Reward Scams,"Big Billion Days Winner: You've won a Rs.1,00,000 gift voucher. Confirm shipping address: https://bigbillion-voucher.example/confirm Sender: VM-BIGBILLION",English,Phishing
SD0187,Lottery/Reward Scams,"Aapka mobile number Vodafone lucky draw mein winner select hua hai Rs.2,50,000 ke liye. Verify karein: https://vodafone-luckywin.example/verify",Hinglish,Phishing
SD0188,Job Scams,"Hiring Alert: Online survey job, fill 10 surveys daily earn Rs.3000. Register now: https://surveyjobs-demo.example/register Sender: AD-SURVEYJOB",English,Phishing
SD0189,Job Scams,Aapko ek international company se remote job offer mila hai $1500/month salary ke saath. Apply karein: http://remotejob-intl.example/apply Helpline: +91-9811334422,Hinglish,Phishing
SD0190,Job Scams,"Dear Candidate, congratulations on clearing the first round. Pay processing fee Rs.999 to proceed: https://processfee-job.example/pay Sender: VM-JOBPROCESS",English,Phishing
SD0191,Job Scams,Naukri.com se aapka profile shortlist hua hai HR round ke liye. Confirm slot abhi: https://naukrishortlist-demo.example/confirm,Hinglish,Phishing
SD0192,Job Scams,"Urgent Hiring: Customer support executive needed, work 4hrs/day, earn Rs.25000/month. Apply: http://csexecutive-job.example/apply Helpline: +91-9900778899",English,Phishing
SD0193,Credit Card/Loan Scams,"Aapka HDFC personal loan pre-approved hai Rs.4,00,000 tak. Sirf Aadhaar se apply karein: https://hdfcloan-preapproved.example/apply Sender: AD-HDFCLOAN",Hinglish,Phishing
SD0194,Credit Card/Loan Scams,Your Axis Bank credit card reward points worth Rs.5000 are expiring today. Redeem now: http://axisrewards-demo.example/redeem Helpline: +91-9822334488,English,Phishing
SD0195,Credit Card/Loan Scams,Aapke business ke liye instant business loan Rs.10 Lakh tak approved hai bina collateral. Apply: https://bizloan-instant.example/apply,Hinglish,Phishing
SD0196,Credit Card/Loan Scams,NOTICE: Your Kotak credit card has been flagged for unusual transaction. Verify to unblock: https://kotakflag-demo.example/verify Sender: VM-KOTAKFLAG,English,Phishing
SD0197,Credit Card/Loan Scams,Aapka student education loan application approve ho gaya hai Rs.8 Lakh ke liye. Confirm karein: http://eduloan-approved.example/confirm Helpline: +91-9877001199,Hinglish,Phishing
SD0198,SIM/KYC Scams,Aapka Jio number ka KYC document mismatch hua hai. 24 ghante mein verify karein varna number band hoga: https://jiokyc-mismatch.example/verify Sender: AD-JIOMISMATCH,Hinglish,Phishing
SD0199,SIM/KYC Scams,Department of Telecom Notice: Your SIM is linked to a fraud case. Verify innocence within 12 hours: http://dot-fraudnotice.example/verify Helpline: +91-9900112255,English,Phishing
SD0200,SIM/KYC Scams,Aapke 5G SIM upgrade ke liye KYC verification zaroori hai. Abhi complete karein: https://5gsim-kycupgrade.example/complete Sender: VM-5GUPGRADE,Hinglish,Phishing
SD0201,Gambling/Gaming Scams,"Aapka Junglee Rummy account mein Rs.12,000 ka deposit bonus pending hai. Activate karein abhi: https://jungleerummy-bonus.example/activate Sender: VM-JUNGLEE",Hinglish,Phishing
SD0202,Gambling/Gaming Scams,"Mega Jackpot Alert: Your lucky number matched in the online casino draw, win Rs.95,000. Claim: http://megajackpot-demo.example/claim Helpline: +91-9811334477",English,Phishing
SD0203,Gambling/Gaming Scams,Aapko WinZO game mein referral bonus Rs.7500 mila hai. KYC verify karein withdraw ke liye: https://winzo-referral.example/kyc Sender: AD-WINZOBONUS,Hinglish,Phishing
SD0204,Gambling/Gaming Scams,"Your betting wallet has Rs.18,200 ready to withdraw. Complete bank verification now: https://betwallet-verify-demo.example/verify Helpline: +91-9900667744",English,Phishing
SD0205,Gambling/Gaming Scams,Aapka PUBG Mobile lucky spin se UC coins aur cash prize Rs.5000 jeeta hai. Claim karein: http://pubg-luckyspin.example/claim,Hinglish,Phishing
SD0206,Gambling/Gaming Scams,"FINAL CALL: Your online lottery game ticket won Rs.60,000. Submit bank details before expiry: https://lotterygame-demo.example/submit Sender: VM-LOTTOGAME",English,Phishing
SD0207,Gambling/Gaming Scams,Aapke Khelo24 account mein signup bonus Rs.2000 add hua hai. Abhi claim karein: https://khelo24-signup.example/claim Helpline: +91-9822115566,Hinglish,Phishing
SD0208,Social Media Account Scams,Aapka Facebook Dating profile inappropriate content ki wajah se review mein hai. Appeal karein: https://fbdating-review.example/appeal Sender: AD-FBDATING,Hinglish,Phishing
SD0209,Social Media Account Scams,Your Instagram Reels monetization is paused due to policy review. Confirm eligibility: http://reels-monetize-demo.example/confirm Helpline: +91-9877223366,English,Phishing
SD0210,Social Media Account Scams,Aapka Threads account verification badge expire hone wala hai. Renew karein abhi: https://threads-badgerenew.example/renew Sender: VM-THREADSBADGE,Hinglish,Phishing
SD0211,Social Media Account Scams,WhatsApp Web Alert: A new device tried to scan your QR code. Confirm or your chats will be exposed: https://wa-qrcode-demo.example/confirm,English,Phishing
SD0212,Social Media Account Scams,Aapka Telegram channel subscribers fraud activity ki wajah se freeze ho gaya hai. Verify: http://tg-channelfreeze.example/verify Helpline: +91-9900334422,Hinglish,Phishing
SD0213,Social Media Account Scams,Your Facebook Ads account has an unpaid balance of Rs.3400. Settle now to avoid suspension: https://fbads-balance-demo.example/settle Sender: AD-FBADSPAY,English,Phishing
SD0214,Electricity Bill Scams,Aapka APSPDCL bill payment gateway error ki wajah se fail hua. Dobara try karein: https://apspdcl-retry-demo.example/retry Sender: VM-APSPDCL,Hinglish,Phishing
SD0215,Electricity Bill Scams,Notice: Your electricity bill auto-debit failed due to insufficient balance. Pay manually: http://autodebit-fail.example/pay Helpline: +91-9811556688,English,Phishing
SD0216,Electricity Bill Scams,Aapke ghar ka naya digital meter install hone wala hai. Booking fee Rs.299 pay karein: https://digitalmeter-booking.example/pay,Hinglish,Phishing
SD0217,Electricity Bill Scams,CESC Important Notice: Your account shows a billing discrepancy of Rs.670. Resolve within 24 hrs: https://cescdiscrepancy.example/resolve Sender: AD-CESCNOTICE,English,Phishing
SD0218,Lottery/Reward Scams,"Aapka number Paytm First Games lucky winner list mein hai Rs.30,000 ke liye. Claim karein: https://paytmfirst-lucky.example/claim Sender: VM-PAYTMLUCKY",Hinglish,Phishing
SD0219,Lottery/Reward Scams,"Mega Millions India Edition: Your ticket number matches the winning combination! Claim Rs.2,00,000: http://megamillions-india.example/claim Helpline: +91-9822990022",English,Phishing
SD0220,Lottery/Reward Scams,Aapko Diwali bonanza lucky draw mein gold coins jeetne ka mauka mila hai. Register karein: https://diwalibonanza-demo.example/register,Hinglish,Phishing
SD0221,Lottery/Reward Scams,"Notice: Your old currency notes qualify for RBI exchange reward of Rs.25,000. Apply here: https://rbiexchange-demo.example/apply Sender: AD-RBIREWARD",English,Phishing
SD0222,Job Scams,"Aapko ek MNC company se WFH job offer mila hai Rs.30,000 fixed salary ke saath. Apply abhi: https://mncwfh-job.example/apply Sender: VM-MNCJOB",Hinglish,Phishing
SD0223,Job Scams,"Urgent Vacancy: Content writer needed, work 2hrs/day, earn Rs.15000/week. No experience required: http://contentwriter-job.example/apply Helpline: +91-9900112266",English,Phishing
SD0224,Job Scams,Aapka resume Infosys recruitment drive ke liye shortlist hua hai. Confirm interview slot: https://infosysdrive-demo.example/confirm,Hinglish,Phishing
SD0225,Job Scams,"Dear Applicant, your virtual assistant job application is approved. Pay onboarding fee Rs.799: https://vajob-onboard.example/pay Sender: AD-VAJOBPAY",English,Phishing
SD0226,Credit Card/Loan Scams,"Aapka Bajaj Finserv loan eligibility check complete hui hai, Rs.6 Lakh approved. Confirm: https://bajajloan-approved.example/confirm Sender: VM-BAJAJLOAN",Hinglish,Phishing
SD0227,Credit Card/Loan Scams,Your IDFC First credit card cashback of Rs.2200 is ready. Redeem before it expires: http://idfccashback-demo.example/redeem Helpline: +91-9811667733,English,Phishing
SD0228,Credit Card/Loan Scams,Aapke gold loan ki application process complete hone wali hai. Final verification karein: https://goldloan-finalverify.example/verify,Hinglish,Phishing
SD0229,Credit Card/Loan Scams,NOTICE: Suspicious transaction blocked on your Yes Bank card. Confirm your identity to unblock: https://yesbankblock-demo.example/confirm Sender: AD-YESBANKSEC,English,Phishing
SD0230,SIM/KYC Scams,Aapka eSIM activation ke liye KYC verification pending hai. 6 ghante mein complete karein: https://esim-kycpending.example/complete Sender: VM-ESIMKYC,Hinglish,Phishing
SD0231,SIM/KYC Scams,Important: Your SIM card registered under your ID shows mismatch in records. Verify now: http://simrecord-mismatch.example/verify Helpline: +91-9822667711,English,Phishing
SD0232,SIM/KYC Scams,Aapka corporate SIM connection company KYC ke bina suspend ho jayega. Turant verify karein: https://corpsimkyc-demo.example/verify,Hinglish,Phishing
SD0233,SIM/KYC Scams,TRAI Final Notice: Multiple SIMs found under your Aadhaar. Deactivate unwanted ones here: https://traimultisim-demo.example/deactivate Sender: AD-TRAISIMCHECK,English,Phishing
SD0234,Gambling/Gaming Scams,"Aapke Call Break game mein tournament jeetne par Rs.16,500 ka prize aaya hai. Claim form bharein: https://callbreak-tourney.example/claimform",Hinglish,Phishing
SD0235,Gambling/Gaming Scams,Your spin wheel reward of Rs.7800 is about to expire. Login and withdraw now: http://spinwheel-expiry.example/withdraw Sender: VM-SPINWHEEL,English,Phishing
SD0236,Social Media Account Scams,Aapka Snapchat Snap Map location sharing settings ke wajah se compromise hua hai. Secure karein: https://snapmap-secure-demo.example/secure,Hinglish,Phishing
SD0237,Social Media Account Scams,"Your Facebook account recovery request was received. If this wasn't you, secure it now: http://fbrecovery-alert.example/secure Helpline: +91-9900778833",English,Phishing
SD0238,Electricity Bill Scams,"Aapka NBPDCL bill late fee ke saath pending hai Rs.1,150. Abhi clear karein: https://nbpdcl-latefee.example/clear Sender: AD-NBPDCLFEE",Hinglish,Phishing
SD0239,Electricity Bill Scams,"Dear Consumer, your electricity refund of Rs.540 for excess payment is ready. Claim now: http://elecrefund-demo.example/claim Helpline: +91-9811223377",English,Phishing
SD0240,Lottery/Reward Scams,Aapka number Big Bazaar mega lucky draw mein select hua hai gift hamper ke liye. Confirm address: https://bigbazaar-luckydraw.example/confirm,Hinglish,Phishing
SD0241,Lottery/Reward Scams,"Festive Reward Alert: You've won a free smartphone worth Rs.20,000. Pay shipping fee Rs.99 to claim: http://festivereward-demo.example/claim Sender: VM-FESTIVEWIN",English,Phishing
SD0242,Job Scams,"Aapko ek freelance translation job ka offer mila hai Rs.10,000/project. Apply abhi: https://translatejob-demo.example/apply Sender: AD-TRANSLATEJOB",Hinglish,Phishing
SD0243,Job Scams,"Dear Candidate, your online tutoring job application requires a verification deposit of Rs.600: http://tutorjob-deposit.example/pay Helpline: +91-9822334411",English,Phishing
SD0244,Credit Card/Loan Scams,Aapka two-wheeler loan pre-approved hai bina down payment ke. Apply karein abhi: https://twowheelerloan-demo.example/apply,Hinglish,Phishing
SD0245,Credit Card/Loan Scams,Your American Express card annual fee waiver is pending confirmation. Confirm now: https://amexwaiver-demo.example/confirm Sender: VM-AMEXWAIVER,English,Phishing
SD0246,SIM/KYC Scams,Aapka postpaid SIM plan KYC update ke bina downgrade ho jayega. Abhi verify karein: https://postpaidkyc-demo.example/verify Sender: AD-POSTPAIDKYC,Hinglish,Phishing
SD0247,SIM/KYC Scams,Important: Your number porting request requires immediate KYC confirmation: http://portingkyc-demo.example/confirm Helpline: +91-9900556622,English,Phishing
SD0248,Gambling/Gaming Scams,"Aapka Ludo Supreme tournament prize Rs.21,000 withdrawal ke liye verification pending hai: https://ludosupreme-verify.example/verify Sender: VM-LUDOSUPREME",Hinglish,Phishing
SD0249,Social Media Account Scams,Your Pinterest business account ad spend limit needs verification to continue running ads: http://pinterestads-verify.example/verify Helpline: +91-9811998844,English,Phishing
SD0250,Electricity Bill Scams,"Aapka MSEB final disconnection notice hai unpaid bill Rs.1,890 ke liye. Turant pay karein: https://msebfinal-demo.example/pay Sender: AD-MSEBFINAL",Hinglish,Phishing
